tissue_id	not_skewed	skewed	total	perc_skewed
adipose-1	159	23	182	0.126373626373626
adipose-2	144	14	158	0.0886075949367089
adrenal gland	56	25	81	0.308641975308642
artery-1	114	12	126	0.0952380952380952
artery-2	63	11	74	0.148648648648649
artery-3	156	16	172	0.0930232558139535
brain-1	28	1	29	0.0344827586206897
brain-10	41	4	45	0.0888888888888889
brain-11	29	2	31	0.0645161290322581
brain-12	35	3	38	0.0789473684210526
brain-13	21	2	23	0.0869565217391304
brain-2	33	1	34	0.0294117647058824
brain-3	42	6	48	0.125
brain-4	39	7	46	0.152173913043478
brain-5	51	7	58	0.120689655172414
brain-6	51	5	56	0.0892857142857143
brain-7	34	3	37	0.0810810810810811
brain-8	32	2	34	0.0588235294117647
brain-9	33	1	34	0.0294117647058824
breast	117	25	142	0.176056338028169
colon-1	116	5	121	0.0413223140495868
colon-2	107	15	122	0.122950819672131
esophagus-1	110	5	115	0.0434782608695652
esophagus-2	134	31	165	0.187878787878788
esophagus-3	135	11	146	0.0753424657534247
heart-1	111	14	125	0.112
heart-2	91	21	112	0.1875
kidney	15	1	16	0.0625
liver	34	13	47	0.276595744680851
lung	127	15	142	0.105633802816901
muscle	197	24	221	0.108597285067873
nerve	153	11	164	0.0670731707317073
ovary	125	22	147	0.149659863945578
pancreas	78	29	107	0.271028037383178
pituitary	54	6	60	0.1
salivary gland	39	6	45	0.133333333333333
skin-1	146	36	182	0.197802197802198
skin-2	154	44	198	0.222222222222222
small intestine	56	8	64	0.125
spleen	74	5	79	0.0632911392405063
stomach	93	16	109	0.146788990825688
thyroid	158	21	179	0.11731843575419
uterus	102	11	113	0.0973451327433628
vagina	109	21	130	0.161538461538462
whole blood	153	61	214	0.285046728971963
